Year,Maize yield
2003,0.7829
2004,1.2965
2005,0.6195
2006,0.9772
2007,0.8651
2008,0.2867
2009,0.4642
2010,0.8751
2011,0.6568
2012,0.7912
2013,0.7449
2014,0.9301
2015,0.5803
2016,0.4405
2017,1.3933
2018,1.3506
2019,0.7807
2020,1.1801
2021,1.5344
2022,0.934
2022,0.7299
